station,a_teen,a_college,a_adult,a_mid,a_old,a_unkown,r_native,r_asian,r_black,r_latino,r_unknown,r_white,sex_f,s_m,sex_u,total
"N,Q",0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1
36 STREET,0,0,3,1,0,0,0,1,0,3,0,0,1,3,0,4
"M,R",0,0,3,1,0,0,0,1,0,3,0,0,1,3,0,4
39 AVENUE,0,0,2,0,0,0,0,0,1,1,0,0,0,2,0,2
"N,Q",0,0,2,0,0,0,0,0,1,1,0,0,0,2,0,2
40 STREET,0,3,0,0,0,0,0,0,2,0,0,1,0,3,0,3
7,0,3,0,0,0,0,0,0,2,0,0,1,0,3,0,3
45 ROAD-COURT HOUSE SQUARE,0,3,13,5,0,0,0,2,4,12,0,3,3,18,0,21
7,0,3,13,5,0,0,0,2,4,12,0,3,3,18,0,21
46 STREET,3,42,74,43,1,0,0,17,10,112,11,13,35,128,0,163
7,3,38,68,41,1,0,0,17,8,103,10,13,33,118,0,151
"M,R",0,4,6,2,0,0,0,0,2,9,1,0,2,10,0,12
52 STREET,1,3,11,4,0,0,0,2,4,10,2,1,6,13,0,19
7,1,3,11,4,0,0,0,2,4,10,2,1,6,13,0,19
61 ST.-WOODSIDE,0,4,7,2,0,0,0,1,2,8,0,2,1,12,0,13
7,0,4,7,2,0,0,0,1,2,8,0,2,1,12,0,13
63 DRIVE-REGO PARK,0,2,1,6,0,0,0,4,2,3,0,0,3,6,0,9
"M,R",0,2,1,6,0,0,0,4,2,3,0,0,3,6,0,9
65 STREET,0,0,2,1,0,0,0,1,0,1,0,1,1,2,0,3
"M,R",0,0,2,1,0,0,0,1,0,1,0,1,1,2,0,3
67 AVENUE,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,2
"M,R",0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,2
69 STREET,0,32,43,14,0,0,1,9,3,68,3,5,14,75,0,89
7,0,32,43,14,0,0,1,9,3,68,3,5,14,75,0,89
71 AVE.-FOREST HILLS,3,16,12,8,2,0,0,3,11,17,3,7,8,33,0,41
"E,F,M,R",3,16,12,8,2,0,0,3,11,17,3,7,8,33,0,41
74 ST.-BROADWAY,1,61,153,47,0,0,0,26,18,193,13,12,47,215,0,262
7,1,61,153,47,0,0,0,26,18,193,13,12,47,215,0,262
75 AVENUE,1,1,4,3,0,0,1,1,1,5,1,0,3,6,0,9
"E,F",1,1,4,3,0,0,1,1,1,5,1,0,3,6,0,9
75 ST.-ELDERTS LANE,0,3,6,2,0,0,0,1,1,7,2,0,3,8,0,11
"J,Z",0,3,6,2,0,0,0,1,1,7,2,0,3,8,0,11
80 STREET,0,6,8,4,0,0,0,3,2,10,3,0,7,11,0,18
A,0,6,8,4,0,0,0,3,2,10,3,0,7,11,0,18
82 ST.-JACKSON HEIGHTS,0,20,45,9,2,0,0,5,6,61,1,3,14,62,0,76
7,0,20,45,9,2,0,0,5,6,61,1,3,14,62,0,76
85 ST.-FOREST PKWY.,0,3,0,3,0,0,0,2,0,4,0,0,2,4,0,6
J,0,3,0,3,0,0,0,2,0,4,0,0,2,4,0,6
88 STREET,0,1,0,1,0,0,0,0,0,1,0,1,0,2,0,2
A,0,1,0,1,0,0,0,0,0,1,0,1,0,2,0,2
90 ST.-ELMHURST AVE.,1,31,90,59,1,0,0,7,5,158,7,5,41,141,0,182
7,1,31,90,59,1,0,0,7,5,158,7,5,41,141,0,182
AQUEDUCT-NORTH CONDUIT AVE.,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
A,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
AQUEDUCT-RACETRACK,0,0,3,1,0,0,0,1,0,3,0,0,0,4,0,4
A,0,0,3,1,0,0,0,1,0,3,0,0,0,4,0,4
ASTORIA BLVD.,1,25,28,15,0,0,0,4,6,33,12,14,12,56,1,69
"N,Q",1,25,28,15,0,0,0,4,6,33,12,14,12,56,1,69
BEACH 25 STREET,0,1,3,1,0,0,0,0,2,3,0,0,3,2,0,5
A,0,1,3,1,0,0,0,0,2,3,0,0,3,2,0,5
BEACH 36 STREET,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,2
A,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,2
BEACH 60 STREET,0,0,6,0,2,0,0,0,5,2,0,1,0,8,0,8
A,0,0,6,0,2,0,0,0,5,2,0,1,0,8,0,8
BEACH 67 STREET,0,1,7,4,0,0,0,0,7,4,1,0,3,9,0,12
A,0,1,7,4,0,0,0,0,7,4,1,0,3,9,0,12
BEACH 90 STREET,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
"A,S",0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
BEACH 98 STREET,0,3,2,0,0,0,0,0,2,1,0,2,5,0,0,5
"A,S",0,3,2,0,0,0,0,0,2,1,0,2,5,0,0,5
BROADWAY,0,2,7,0,0,0,0,1,1,4,1,2,2,7,0,9
"N,Q",0,2,7,0,0,0,0,1,1,4,1,2,2,7,0,9
COURT SQUARE,1,8,10,1,0,0,0,1,0,16,2,1,3,17,0,20
G,1,8,10,1,0,0,0,1,0,16,2,1,3,17,0,20
DISTRICT 20 OFFICE,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1
N/A,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1
DITMARS BLVD.-ASTORIA,1,7,11,4,0,0,0,4,7,5,1,6,5,18,0,23
"N,Q",1,7,11,4,0,0,0,4,7,5,1,6,5,18,0,23
ELMHURST AVE.,1,11,18,10,0,0,0,8,3,17,9,3,11,29,0,40
"M,R",1,11,18,10,0,0,0,8,3,17,9,3,11,29,0,40
FAR ROCKAWAY-MOTT AVE.,1,53,81,24,2,0,0,3,74,76,2,6,41,120,0,161
A,1,53,81,24,2,0,0,3,74,76,2,6,41,120,0,161
GRAND AVE.-NEWTON,0,3,9,7,0,1,0,3,1,13,2,1,4,16,0,20
"M,R",0,3,9,7,0,1,0,3,1,13,2,1,4,16,0,20
HOWARD BEACH-JFK AIRPORT,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,2
A,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,2
HUNTERS POINT AVENUE,0,0,0,2,0,0,0,1,0,1,0,0,1,1,0,2
7,0,0,0,2,0,0,0,1,0,1,0,0,1,1,0,2
JAMAICA-VAN WYCK,0,0,2,2,0,0,0,0,2,2,0,0,1,3,0,4
E,0,0,2,2,0,0,0,0,2,2,0,0,1,3,0,4
JUNCTION BLVD.,1,49,92,30,2,0,0,6,10,155,0,3,45,129,0,174
7,1,49,92,30,2,0,0,6,10,155,0,3,45,129,0,174
LEFFERTS BLVD.,0,7,18,9,1,0,3,5,7,12,6,2,7,28,0,35
A,0,7,18,9,1,0,3,5,7,12,6,2,7,28,0,35
MAIN ST.-FLUSHING,8,138,196,67,4,0,1,57,23,304,15,13,96,316,1,413
7,8,138,196,67,4,0,1,57,23,304,15,13,96,316,1,413
NORTHERN BLVD.,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
"M,R",0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
OFF-SYSTEM,0,0,2,0,0,0,0,0,1,1,0,0,0,2,0,2
OFF-SYSTEM,0,0,2,0,0,0,0,0,1,1,0,0,0,2,0,2
PARSONS BLVD.,1,12,59,29,2,0,0,12,19,61,9,2,29,74,0,103
F,1,12,59,29,2,0,0,12,19,61,9,2,29,74,0,103
PARSONS/ARCHER-JAMAICA CENTER,0,17,28,11,2,0,0,0,25,25,7,1,14,44,0,58
"E,J,Z",0,17,28,11,2,0,0,0,25,25,7,1,14,44,0,58
QUEENS PLAZA,0,9,14,2,2,0,0,6,7,11,1,2,3,24,0,27
"E,M,R",0,9,14,2,2,0,0,6,7,11,1,2,3,24,0,27
QUEENSBORO PLAZA,1,17,26,8,0,0,0,6,10,26,0,10,6,46,0,52
"N,Q,7",1,17,26,8,0,0,0,6,10,26,0,10,6,46,0,52
ROCKAWAY BLVD.,3,34,44,18,2,0,0,7,32,43,10,9,21,80,0,101
A,3,34,44,18,2,0,0,7,32,43,10,9,21,80,0,101
ROCKAWAY PARK-BEACH 116 ST.,0,2,0,0,0,0,0,0,0,2,0,0,2,0,0,2
"A,S",0,2,0,0,0,0,0,0,0,2,0,0,2,0,0,2
ROOSEVELT AVE.-JACKSON HEIGHTS,5,191,338,166,10,0,6,157,56,378,89,24,150,558,2,710
"E,F,M,R",5,191,338,166,10,0,6,157,56,378,89,24,150,558,2,710
ROOSEVELT ISLAND,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
F,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
STEINWAY ST.,0,10,18,5,0,0,0,5,2,16,2,8,13,20,0,33
"M,R",0,10,18,5,0,0,0,5,2,16,2,8,13,20,0,33
SUTPHIN BLVD.,2,16,56,24,4,1,2,8,8,75,7,3,24,79,0,103
F,2,16,56,24,4,1,2,8,8,75,7,3,24,79,0,103
SUTPHIN BLVD.-ARCHER AVE.,0,35,109,42,7,0,0,12,55,86,12,28,45,147,1,193
"E,J,Z",0,35,109,42,7,0,0,12,55,86,12,28,45,147,1,193
UNION TURNPIKE-KEW GARDENS,4,63,65,32,2,0,2,24,27,90,6,17,37,129,0,166
"E,F",4,63,65,32,2,0,2,24,27,90,6,17,37,129,0,166
VAN WYCK BLVD.-BRIARWOOD,1,4,15,3,1,0,0,1,2,14,5,2,7,17,0,24
"E,F",1,4,15,3,1,0,0,1,2,14,5,2,7,17,0,24
VERNON BLVD.-JACKSON AVE.,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,2
7,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,2
WILLETS POINT-SHEA STADIUM,1,14,14,9,1,0,0,4,19,11,0,5,3,36,0,39
7,1,14,14,9,1,0,0,4,19,11,0,5,3,36,0,39
WOODHAVEN BLVD.,4,70,106,40,0,1,0,21,56,117,9,18,50,171,0,221
"J,Z",4,41,68,29,0,1,0,14,34,82,5,8,39,104,0,143
"M,R",0,29,38,11,0,0,0,7,22,35,4,10,11,67,0,78
